brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,car_age,mileage_per_year,price_per_mile,has_accident,is_automatic
Nissan,Rogue SL,2017,78110,Gasoline,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,17500,8,8678.888888888889,0.22404301625912176,0,1
GMC,Acadia Denali,2015,74864,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,None reported,Yes,19780,10,6805.818181818182,0.26421243855524684,0,1
Cadillac,Escalade Premium Luxury Platinum,2021,15350,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,93500,4,3070.0,6.091205211726384,0,1
Nissan,GT-R Premium,2010,46100,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,72999,15,2881.25,1.5834924078091106,0,1
Toyota,Highlander XLE,2018,61454,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,31000,7,7681.75,0.5044423471214241,0,1
BMW,X7 xDrive40i,2020,45241,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Blue,Brown,None reported,Yes,54500,5,7540.166666666667,1.2046594902853607,0,1
INFINITI,QX60 Base,2018,48000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,Yes,27000,7,6000.0,0.5625,0,0
Lexus,IS 250C Base,2010,68500,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Beige,None reported,Yes,18500,15,4281.25,0.27007299270072993,0,0
GMC,Sierra 1500 Denali,2019,43433,Gasoline,5.3L V8 16V GDI OHV,Automatic,Onyx Black,Walnut,None reported,Yes,51899,6,6204.714285714285,1.1949209126700895,0,1
Chevrolet,SSR Base,2005,122961,Gasoline,6.0L V8 16V MPFI OHV,4-Speed Automatic,Redline Red,Ebony,None reported,Yes,20995,20,5855.285714285715,0.17074519563113508,0,1
Dodge,Challenger R/T,2014,92861,Gasoline,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Red,None reported,Yes,19750,11,7738.416666666667,0.21268347314803845,0,1
Hyundai,Equus Signature,2016,72000,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,21400,9,7200.0,0.2972222222222222,0,1
Lamborghini,Aventador SVJ Base,2019,6929,Gasoline,759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,649999,6,989.8571428571429,93.80848607302642,0,1
Ford,Mustang GT,2003,83000,Gasoline,260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,10500,22,3608.695652173913,0.12650602409638553,0,1
Audi,e-tron Premium,2021,18031,Gasoline,Electric,1-Speed Automatic,Navarra Blue Metallic,Black,None reported,Yes,39599,4,3606.2,2.1961621651600023,0,1
Toyota,Sequoia Limited,2023,8200,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Brown,Black,None reported,Yes,78900,2,2733.3333333333335,9.621951219512194,0,1
Land,Rover Range Rover Sport HST MHEV,2020,19000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,74900,5,3166.6666666666665,3.942105263157895,0,0
Jeep,Grand Cherokee L Limited,2022,12875,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Diamond Black,Global Black,None reported,Yes,42599,3,3218.75,3.3086601941747573,0,1
Maserati,GranTurismo Sport,2015,32000,Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,Brown,None reported,Yes,36000,10,2909.090909090909,1.125,0,1
BMW,M5 Base,2013,61145,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,37500,12,4703.461538461538,0.6132962629814376,1,1
Mercedes-Benz,C-Class 4MATIC Sedan,2022,9612,Gasoline,"2L I-4 gasoline direct injection, DOHC, variable valve control,","Automatic, 9-Spd 9G-Tronic",–,–,None reported,Yes,43900,3,2403.0,4.567207657095298,0,1
Land,Rover Range Rover Sport First Edition,2023,3534,Hybrid,4.4 Liter,Automatic,Red,Black,None reported,Yes,143998,2,1178.0,40.74646293152235,0,1
Ford,F-150 Lariat,2011,152000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Beige,None reported,Yes,14000,14,10133.333333333334,0.09210526315789473,0,1
Audi,A4 2.0T Premium,2012,129567,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,7000,13,9254.785714285714,0.0540261023254378,0,1
BMW,540 i xDrive,2019,36000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,41995,6,5142.857142857143,1.1665277777777778,1,1
BMW,X6 xDrive35i,2009,92008,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,12500,16,5412.235294117647,0.1358577514998696,0,1
Ford,Mustang Base,1998,63900,Gasoline,150.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,10300,27,2282.1428571428573,0.16118935837245696,0,1
Toyota,Sequoia Limited,2012,150900,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,17500,13,10778.57142857143,0.11597084161696487,0,1
Dodge,Challenger R/T Scat Pack,2019,43000,–,–,6-Speed M/T,Green,Black,None reported,Yes,50000,6,6142.857142857143,1.1627906976744187,0,0
Land,Rover Range Rover 3.0L Supercharged,2018,38020,Gasoline,5.0 Liter,Automatic,White,Espresso,None reported,Yes,63998,7,4752.5,1.6832719621251973,0,1
Audi,Q8 55 Premium Plus,2021,14750,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,61059,4,2950.0,4.139593220338983,0,0
Subaru,WRX Base,2015,52500,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,23000,10,4772.727272727273,0.4380952380952381,0,0
Chevrolet,Suburban LT,2017,207571,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,21000,8,23063.444444444445,0.10117020200316999,1,1
INFINITI,QX60 Pure,2020,39000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,29900,5,6500.0,0.7666666666666667,0,1
Porsche,Cayman Base,2011,66000,Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,28000,14,4400.0,0.42424242424242425,0,1
INFINITI,QX60 Base,2017,93500,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,16000,8,10388.888888888889,0.1711229946524064,0,1
BMW,M4 Base,2018,7200,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,64000,7,900.0,8.88888888888889,0,1
Maserati,MC20 MC20,2022,1220,Gasoline,"Nettuno 3L V-6 port/direct injection, DOHC, variable valve contr","Automatic, 8-Spd Dual-Clutch",–,–,None reported,Yes,238900,3,305.0,195.81967213114754,0,1
Land,Rover Defender SE,2023,8421,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,White,None reported,Yes,90000,2,2807.0,10.687566797292483,0,1
BMW,M8 Base,2020,25520,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Brands Hatch Gray Metallic,Black,None reported,Yes,84900,5,4253.333333333333,3.3268025078369905,0,1
Tesla,Model Y Performance,2020,30554,Gasoline,Electric,1-Speed Automatic,Blue,Black,None reported,Yes,41999,5,5092.333333333333,1.3745827060286706,0,1
Volvo,C40 Recharge Pure Electric Twin Ultimate,2023,17000,Gasoline,402.0HP Electric Motor Electric Fuel System,A/T,Gray,Blue,None reported,Yes,54900,2,5666.666666666667,3.2294117647058824,0,1
Mercedes-Benz,SL-Class SL 550,2011,41314,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,White,At least 1 accident or damage reported,Yes,30999,14,2754.266666666667,0.7503267657452679,1,0
Land,Rover Range Rover P525 HSE SWB,2020,49899,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,64500,5,8316.5,1.292611074370228,1,0
Ford,Escape XLT,2012,186268,E85 Flex Fuel,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Blue,Black,None reported,Yes,4500,13,13304.857142857143,0.024158739021195266,0,1
Lexus,ES 350 Base,2016,51335,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,25995,9,5133.5,0.5063796629979546,1,1
Porsche,718 Boxster GTS,2019,10400,Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,99750,6,1485.7142857142858,9.591346153846153,0,1
Mercedes-Benz,G-Class G 550,2020,20622,Gasoline,4.0 Liter Twin Turbo,Automatic,designo Diamond White Metallic,Black,None reported,Yes,142998,5,3437.0,6.934244981088158,0,1
RAM,1500 Big Horn,2022,19376,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Bright White Clearcoat,Black,None reported,Yes,45861,3,4844.0,2.366897192402973,0,1
Audi,R8 5.2 V10 performance,2020,12245,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Daytona Gray Pearl Effect w/ Black Roof,Black / Express Red,None reported,Yes,187900,5,2040.8333333333333,15.345038791343406,0,1
Mitsubishi,Lancer Evolution IX,2006,77000,Gasoline,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Black,None reported,Yes,57000,19,3850.0,0.7402597402597403,0,0
Acura,TL Technology,2013,40000,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Gray,None reported,Yes,24000,12,3076.923076923077,0.6,0,1
Cadillac,CTS Luxury,2012,113000,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,10000,13,8071.428571428572,0.08849557522123894,0,1
Chevrolet,Camaro 1SS,2022,7600,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,46000,3,1900.0,6.052631578947368,1,0
Toyota,Camry Hybrid LE,2022,20400,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Gray,None reported,Yes,29900,3,5100.0,1.4656862745098038,0,0
Ford,Transit-350 XLT,2019,115000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,39000,6,16428.571428571428,0.3391304347826087,0,1
Lexus,RX 450h Base,2012,239000,Hybrid,295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,None reported,Yes,7000,13,17071.428571428572,0.029288702928870293,0,1
Jaguar,F-TYPE V6 S,2014,62194,Gasoline,3.0 Liter SC ULEV,Automatic,Black,Black,None reported,Yes,32998,11,5182.833333333333,0.5305656494195582,0,1
Jeep,Wrangler Sahara,2020,22138,Gasoline,3.6 Liter,Automatic,Black,Black,None reported,Yes,38598,5,3689.6666666666665,1.743517932965941,0,1
Porsche,718 Boxster S,2017,48900,Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,62500,8,5433.333333333333,1.278118609406953,0,0
Audi,R8 5.2,2014,21800,Gasoline,525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,117000,11,1816.6666666666667,5.36697247706422,0,0
Lincoln,MKZ Base,2016,68200,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,16750,9,6820.0,0.24560117302052786,1,1
Chevrolet,S-10 LS Crew Cab,2001,139000,Gasoline,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,Yes,7000,24,5560.0,0.050359712230215826,0,1
Mercedes-Benz,G-Class G 550 4MATIC,2021,76100,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,130000,4,15220.0,1.7082785808147174,0,1
Lexus,RX 350 RX 350 F SPORT Handling,2022,14330,Gasoline,3.5 Liter DOHC,Automatic,Black,Red,None reported,Yes,54998,3,3582.5,3.8379623168178645,0,1
BMW,750 i xDrive,2019,41906,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,White,At least 1 accident or damage reported,Yes,45999,6,5986.571428571428,1.0976709779029257,1,1
Chevrolet,Camaro 2SS,2016,164000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,Yes,21500,9,16400.0,0.13109756097560976,0,1
Ford,Fusion Hybrid SE,2013,161933,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,Blue,Charcoal Black,None reported,Yes,7945,12,12456.384615384615,0.04906350157163765,0,1
Hyundai,Santa Cruz 2.5T Limited,2022,22829,Gasoline,2.5L I4 16V PDI DOHC Turbo,Automatic,Hampton Gray,Black,None reported,Yes,34580,3,5707.25,1.5147400236541242,0,1
Lexus,RX 350 F Sport,2023,5483,Gasoline,2.4L I4 16V PDI DOHC Turbo,8-Speed Automatic,Ultra White,Black,None reported,Yes,59950,2,1827.6666666666667,10.933795367499544,0,1
Land,Rover Range Rover Evoque S,2020,46891,Gasoline,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,31000,5,7815.166666666667,0.6611076752468491,1,1
Chevrolet,Suburban LT,2019,72000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,39000,6,10285.714285714286,0.5416666666666666,1,1
Porsche,718 Spyder Base,2020,3400,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,129900,5,566.6666666666666,38.205882352941174,0,0
Chevrolet,Camaro 1LT,2021,18000,Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,30000,4,3600.0,1.6666666666666667,1,1
Jeep,Gladiator Freedom,2021,30630,Gasoline,3.6 Liter,Automatic,Hydro Blue Pearlcoat,Black,None reported,Yes,39998,4,6126.0,1.3058439438459026,0,1
Toyota,Tacoma Double Cab,2007,24985,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Silver,None reported,Yes,33580,18,1315.0,1.3440064038423054,0,1
GMC,Yukon Denali Ultimate,2023,9978,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Gold,None reported,Yes,93999,2,3326.0,9.42062537582682,0,1
Ford,Shelby GT350R Base,2018,18500,Gasoline,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,M/T,Blue,Black,At least 1 accident or damage reported,Yes,77999,7,2312.5,4.2161621621621626,1,0
Cadillac,Escalade Premium Luxury Platinum,2021,72843,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,Sandstone Metallic,Dark Auburn,None reported,Yes,79990,4,14568.6,1.0981151243084442,0,1
Buick,LaCrosse Base,2017,67500,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,20000,8,7500.0,0.2962962962962963,0,1
Tesla,Model X Long Range Plus,2020,43534,Gasoline,534.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,Black,None reported,Yes,65990,5,7255.666666666667,1.515826710157578,0,1
Mercedes-Benz,E-Class E 300 4MATIC,2017,36900,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Beige,None reported,Yes,28500,8,4100.0,0.7723577235772358,0,1
Chevrolet,Tahoe LT,2017,61720,E85 Flex Fuel,5.3 Liter,Automatic,Silver,Jet Black,At least 1 accident or damage reported,Yes,39998,8,6857.777777777777,0.6480557355800389,1,1
Kia,Telluride EX,2022,35938,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Glacial White Pearl,Black,None reported,Yes,43329,3,8984.5,1.2056597473426456,0,1
Toyota,Tundra Hybrid Limited,2023,10748,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Midnight Black Metallic,Black,None reported,Yes,63100,2,3582.6666666666665,5.870859694826945,0,1
Audi,S8 4.0T quattro,2023,4457,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Mythos Black Metallic,Black,None reported,Yes,107900,2,1485.6666666666667,24.20910926632264,0,1
Nissan,Armada Platinum,2018,108206,Gasoline,5.6 Liter,Automatic,White,Charcoal,At least 1 accident or damage reported,Yes,26498,7,13525.75,0.24488475685266992,1,1
Land,Rover Discovery HSE,2020,32705,Diesel,3.0 Liter,Automatic,Portofino Blue Metallic,Tan/Ebony/Ebony,None reported,Yes,46598,5,5450.833333333333,1.4247974315853844,0,1
Kia,Telluride S,2020,74026,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Sangria Red,Black,None reported,Yes,32913,5,12337.666666666666,0.44461405452138436,0,1
Lexus,GS 350 F Sport,2020,24651,Gasoline,3.5L V6 24V PDI DOHC,6-Speed Automatic,Ultra White,Black,None reported,Yes,45950,5,4108.5,1.8640217435398159,0,1
BMW,X6 xDrive40i,2022,13000,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Orange,None reported,Yes,69000,3,3250.0,5.3076923076923075,0,0
Land,Rover Range Rover P400 SE SWB,2023,11700,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,White,None reported,Yes,133500,2,3900.0,11.41025641025641,0,0
Chevrolet,Silverado 3500 High Country,2015,77500,Diesel,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Brown,None reported,Yes,54000,10,7045.454545454545,0.6967741935483871,0,1
Maserati,Quattroporte Sport GT,2007,82000,Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,7999,18,4315.789473684211,0.09754878048780488,1,0
Dodge,Viper GTC,2017,1389,Gasoline,645.0HP 8.4L 10 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,Yes,489995,8,154.33333333333334,352.76817854571635,0,0
Ford,Expedition Limited,2021,29830,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Magnetic Metallic,Ebony,None reported,Yes,55329,4,5966.0,1.8548105933623869,0,1
Mazda,Mazda6 i Grand Touring,2016,83100,–,–,A/T,White,White,None reported,Yes,17800,9,8310.0,0.21419975932611313,0,1
Kia,Optima LX,2019,62660,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,16500,6,8951.42857142857,0.26332588573252474,0,1
Land,Rover Range Rover Sport SVR,2018,56006,Gasoline,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,White,None reported,Yes,59000,7,7000.75,1.0534585580116416,0,0
Lexus,RX 450h F SPORT Handling,2021,31365,Hybrid,3.5 Liter DOHC,Variable,Beige,Red,None reported,Yes,52998,4,6273.0,1.6897178383548541,0,0
Lincoln,Town Car Base,2004,27600,Gasoline,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,White,None reported,Yes,14900,21,1254.5454545454545,0.5398550724637681,0,1
Honda,Civic Si,2012,47245,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,19600,13,3374.6428571428573,0.41485871520795853,0,0
Lexus,RX 450h Base,2017,73948,Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,White,Beige,None reported,Yes,31990,8,8216.444444444445,0.43260128739113973,0,1
RAM,1500 Classic Warlock,2019,36757,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Diamond Black,Diesel Gray / Black,None reported,Yes,31953,6,5251.0,0.8693038060777539,0,1
Tesla,Model Y Long Range,2023,4786,Gasoline,425.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,Yes,48000,2,1595.3333333333333,10.029251984956122,0,1
Audi,RS 3 2.5T,2023,1900,Gasoline,401.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,78900,2,633.3333333333334,41.526315789473685,0,0
Hyundai,Genesis Coupe 3.8 R-Spec,2014,52060,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,15000,11,4338.333333333333,0.28812908182865926,1,0
Porsche,Boxster RS 60 Spyder,2008,58000,Gasoline,303.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,41500,17,3222.222222222222,0.7155172413793104,0,0
Ford,F-250 XLT,2010,52246,Diesel,6.4L V8 32V DDI OHV Twin Turbo Diesel,6-Speed Manual,Tan,Medium Stone,None reported,Yes,26095,15,3265.375,0.4994640738046932,0,0
Kia,Sorento EX,2016,64290,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Snow White Pearl,Satin Black,None reported,Yes,16999,9,6429.0,0.26441126147145744,0,1
Nissan,370Z Touring,2009,37500,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Orange,None reported,Yes,21500,16,2205.8823529411766,0.5733333333333334,0,0
Genesis,G70 2.0T,2023,2121,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,40750,2,707.0,19.212635549269212,0,1
Land,Rover Range Rover Sport Supercharged,2013,57000,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,26000,12,4384.615384615385,0.45614035087719296,0,0
Mercedes-Benz,S-Class S 560 4MATIC,2020,22000,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,69500,5,3666.6666666666665,3.159090909090909,0,1
Ford,Bronco Wildtrak Advanced,2023,2000,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,66500,2,666.6666666666666,33.25,0,1
RAM,1500 SLT,2018,61802,E85 Flex Fuel,305.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,8-Speed A/T,Black,Gray,None reported,Yes,32000,7,7725.25,0.5177825960324909,0,1
Dodge,Challenger R/T,2010,73000,–,–,A/T,Black,Black,None reported,Yes,17500,15,4562.5,0.23972602739726026,0,1
Chevrolet,Sonic LT,2013,110000,–,–,A/T,Gray,Black,None reported,Yes,7500,12,8461.538461538461,0.06818181818181818,0,1
Jeep,Grand Cherokee Laredo,2013,106700,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,13500,12,8207.692307692309,0.12652296157450796,0,1
Audi,RS 5 4.2,2013,75965,Gasoline,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,35999,12,5843.461538461538,0.47388929112091094,1,1
Jeep,Grand Cherokee L Overland,2022,31804,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Silver Zynith,Global Black,At least 1 accident or damage reported,Yes,48995,3,7951.0,1.5405294931455162,1,1
Mazda,MX-5 Miata Base,1992,125800,–,–,5-Speed M/T,Red,Black,None reported,Yes,11500,33,3700.0,0.09141494435612083,0,0
Chrysler,Crossfire Limited,2005,116320,Gasoline,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Red,At least 1 accident or damage reported,Yes,6000,20,5539.047619047619,0.0515818431911967,1,1
Audi,S5 4.2 Premium Plus,2011,156875,Gasoline,354.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Red,At least 1 accident or damage reported,Yes,9900,14,10458.333333333334,0.06310756972111554,1,0
Tesla,Model X Base,2023,197,Gasoline,670.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,85000,2,65.66666666666667,431.4720812182741,0,1
Cadillac,CT4 Luxury,2020,35200,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,28500,5,5866.666666666667,0.8096590909090909,0,1
Maserati,Ghibli S Q4,2014,76000,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,19000,11,6333.333333333333,0.25,0,1
Jaguar,F-PACE 25t Premium,2019,29000,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,34500,6,4142.857142857143,1.1896551724137931,0,1
BMW,750 i xDrive,2019,33499,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,44495,6,4785.571428571428,1.3282486044359534,1,1
Acura,TLX V6 Advance,2019,25779,Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,Platinum White Pearl,Ebony,At least 1 accident or damage reported,Yes,30999,6,3682.714285714286,1.2024903991621088,1,1
GMC,Terrain SLT-1,2015,76296,Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,9500,10,6936.0,0.12451504666037538,1,1
BMW,i3 Base w/Range Extender,2014,29553,Gasoline,170.0HP 0.65L Electric Motor Electric Fuel System,1-Speed A/T,Black,Gray,None reported,Yes,12800,11,2462.75,0.43312015700605694,0,1
Nissan,Versa 1.8 S,2011,109902,Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,4500,14,7326.8,0.04094556968935961,0,1
Mercedes-Benz,C-Class C 300 4MATIC,2019,23083,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Beige,None reported,Yes,33500,6,3297.5714285714284,1.4512844950829615,0,1
